pop1,pop2,pop1_hab,pop2_hab,fst
MW047,MW027,Rural,Urban,-0.008811551876446997
MW047,MW049,Rural,Urban,0.03566245551229469
MW047,MW077,Rural,Urban,0.021468675141759964
MW047,MW039,Rural,Urban,-0.03384774485627713
MW047,MW001,Rural,Rural,0.05094554949155096
MW047,MW006,Rural,Rural,-0.02279292389324472
MW047,MW072,Rural,Urban,0.019017366918769506
MW047,MW036,Rural,Rural,-0.009839991224927461
MW047,MW062,Rural,Urban,0.015291987964226265
MW047,MW046,Rural,Rural,0.02321775954940964
MW047,MW061,Rural,Urban,-0.010591836016057213
MW047,MW068,Rural,Urban,0.02133782058225907
MW047,MW029,Rural,Urban,-0.023030242155684923
MW047,MW014,Rural,Urban,-0.031000930658940728
MW047,MW003,Rural,Rural,0.018273191680313466
MW047,MW031,Rural,Urban,-0.04444346433937738
MW047,MW015,Rural,Urban,-0.036373098254620026
MW047,MW011,Rural,Urban,0.010685611014893891
MW047,MW064,Rural,Urban,-0.08731698129580398
MW047,MW035,Rural,Rural,-0.004759196093123936
MW047,MW008,Rural,Rural,-0.003906863882299245
MW047,MW005,Rural,Rural,-0.012274193123476598
MW047,MW074,Rural,Urban,-0.0016542801039746903
MW002,MW012,Urban,Urban,-0.005612443209324864
MW002,MW013,Urban,Urban,-0.03824018508454358
MW002,MW018,Urban,Rural,-0.09118003405589145
MW002,MW030,Urban,Urban,-0.01229152080023892
MW002,MW019,Urban,Rural,-0.0032862006525963584
MW002,MW004,Urban,Rural,-0.07142673784141412
MW002,MW021,Urban,Rural,0.009345722673977574
MW002,MW017,Urban,Rural,-0.009297759408365374
MW002,MW007,Urban,Rural,-0.07062588520536765
MW002,MW056,Urban,Urban,-0.04394602867045971
MW002,MW057,Urban,Urban,-0.058624115757876905
MW002,MW027,Urban,Urban,-0.08972764955512078
MW002,MW049,Urban,Urban,-0.019346746352203178
MW002,MW077,Urban,Urban,0.003927732091470606
MW002,MW039,Urban,Urban,-0.05630574222192183
MW002,MW001,Urban,Rural,-0.006691498069206938
MW002,MW006,Urban,Rural,-0.0723311875624823
MW002,MW072,Urban,Urban,-0.03990952617594443
MW002,MW036,Urban,Rural,-0.039175704642160185
MW002,MW062,Urban,Urban,-0.025986491221989996
MW002,MW046,Urban,Rural,-0.032109187247659016
MW002,MW061,Urban,Urban,-0.04325174676374797
MW002,MW068,Urban,Urban,0.004780203061050559
MW002,MW029,Urban,Urban,-0.06479296215299124
MW002,MW014,Urban,Urban,-0.04684890502418425
MW002,MW003,Urban,Rural,-0.005079531581980504
MW002,MW031,Urban,Urban,-0.06331217616378094
MW002,MW015,Urban,Urban,-0.07392783570520946
MW002,MW011,Urban,Urban,-0.051445077112325106
MW002,MW064,Urban,Urban,-0.0932803060890232
MW002,MW035,Urban,Rural,-0.05561669539857521
MW002,MW008,Urban,Rural,-0.057981602959869254
MW002,MW005,Urban,Rural,-0.04666451179981541
MW002,MW074,Urban,Urban,-0.023045760393658198
MW012,MW013,Urban,Urban,-0.017087554816271007
MW012,MW018,Urban,Rural,-0.03443766629471085
MW012,MW030,Urban,Urban,0.04673655944336732
MW012,MW019,Urban,Rural,0.042484993221041566
MW012,MW004,Urban,Rural,-0.0051066195962809575
MW012,MW021,Urban,Rural,0.07409908358557109
MW012,MW017,Urban,Rural,0.020860416444404072
MW012,MW007,Urban,Rural,-0.0039221570488831925
MW012,MW056,Urban,Urban,0.0069612260488611305
MW012,MW057,Urban,Urban,-0.013478013116784237
MW012,MW027,Urban,Urban,-0.0005259601652359415
MW012,MW049,Urban,Urban,0.0496909841920556
MW012,MW077,Urban,Urban,0.0695227444692304
MW012,MW039,Urban,Urban,-0.019758058490074858
MW012,MW001,Urban,Rural,0.052786241211806334
MW012,MW006,Urban,Rural,-0.0063869278393654805
MW012,MW072,Urban,Urban,0.011971938904170056
MW012,MW036,Urban,Rural,0.021558560494433495
MW012,MW062,Urban,Urban,0.01452683131201419
MW012,MW046,Urban,Rural,0.04544014579055756
MW012,MW061,Urban,Urban,0.0028661395063958174
MW012,MW068,Urban,Urban,0.06690375840509263
MW012,MW029,Urban,Urban,-0.0023743646340136323
MW012,MW014,Urban,Urban,-0.021602183468094213
MW012,MW003,Urban,Rural,0.06350687342086755
MW012,MW031,Urban,Urban,-0.017121792647312846
MW012,MW015,Urban,Urban,-0.03143572737609175
MW012,MW011,Urban,Urban,0.010153056167662565
MW012,MW064,Urban,Urban,-0.05358432541993813
MW012,MW035,Urban,Rural,0.0044900131619656294
MW012,MW008,Urban,Rural,-0.0023961236718791426
MW012,MW005,Urban,Rural,-0.006692461928059003
MW012,MW074,Urban,Urban,0.03188424152233795
MW013,MW018,Urban,Rural,-0.05660460992907799
MW013,MW030,Urban,Urban,-0.003220885964248791
MW013,MW019,Urban,Rural,0.016424465542853435
MW013,MW004,Urban,Rural,-0.08088157125392018
MW013,MW021,Urban,Rural,0.03685471199172177
MW013,MW017,Urban,Rural,-0.005968512066073032
MW013,MW007,Urban,Rural,-0.020865241808224334
MW013,MW056,Urban,Urban,-0.0592298531163161
MW013,MW057,Urban,Urban,-0.05143488009892623
MW013,MW027,Urban,Urban,-0.03403746966019429
MW013,MW049,Urban,Urban,0.016707631758282993
