"","population","67","79","40","47","2","12","13","18","30","20","28","19","4","21","17","51","7","56","57","27","49","77","39","1","6","72","23","36","62","45","16","46","61","68","29","14","42","3","31","15","9","11","64","69","35","8","5","74","41","MWI067","MWI075","MWI007","MWI016","MWI025","MWI033","MWI041","MWI049","MWI058","MWI068","MWI076","26","MWI008","MWI017","MWI026","MWI034","MWI042","MWI050","MWI059","MWI069","MWI077","MWI009","MWI018","MWI027","MWI035","MWI043","MWI051","MWI060","MWI070","MWI078","MWI010","MWI019","MWI028","MWI036","MWI044","MWI052","MWI061","MWI071","MWI079","MWI001","MWI011","MWI020","MWI029","MWI045","MWI053","MWI062","MWI072","MWI080","MWI003","MWI014","MWI022","MWI030","MWI038","MWI046","MWI054","MWI063","MWI073","UTSC","MWI004","MWI015","MWI023","MWI031","MWI039","MWI047","MWI055","MWI066","MWI074","MWI005","MWI024","MWI032","MWI040","MWI048","MWI056"
"1","67",0,0.0958554736197877,0.0839998047067662,0.126845872301337,0.0654700791934488,0.14549396700554,0.15401353539131,0.0922635702137461,0.14975434105377,0.0892231103632029,0.0898865586651639,0.150979000207532,0.0969688571219948,0.136142380346188,0.128329562560472,0.154299244983534,0.0733500655627925,0.123938985557647,0.0802470667286568,0.156155299394865,0.151362973137959,0.138541641228786,0.101199676199695,0.154133388780844,0.0882000973577162,0.109727656410053,0.127750177430802,0.13972451261186,0.112533217300223,0.1009564293305,0.134233303409611,0.11967391027952,0.162378930608782,0.163930824301461,0.13892671545753,0.0722574569048947,0.169803403182235,0.158410594393604,0.0704215510341544,0.0874622498299955,0.0692949454970868,0.117022347243613,0.0817608037805508,0.130232872030635,0.11018039350481,0.110307360176373,0.0965907823522173,0.140808116463864,0.114986595987105,0.144617663894407,0.129422939919259,0.148462703272105,0.135442445321383,0.170602839136801,0.0867092980001063,0.106026200873362,0.102862797520876,0.141388174807198,0.126328336159283,0.139227173984596,0.108054335894621,0.132370021179203,0.130466925416268,0.143076820217958,0.165753536675117,0.134062237174096,0.159561350147148,0.174399740428293,0.135526622490094,0.136126009912418,0.124970164012685,0.101123595505618,0.0687775759148716,0.102759937510849,0.169529204472475,0.126677103849974,0.125600736221412,0.0926465652765266,0.107119596887533,0.148553943342217,0.112124602013596,0.143098639168287,0.105742793408152,0.113544628128181,0.143188659256394,0.0722489811041127,0.119794981166475,0.133314482460372,0.0977006431151441,0.0793136354633681,0.12433577605668,0.114139635095159,0.0642272575924855,0.0851273392429999,0.0777828387232403,0.147261125383277,-0.0303362350601652,0.146702914166363,0.116955110870741,0.137335720801378,0.143985137018114,0.11408353469106,0.131247931148626,0.110826792074415,0.10239445494644,0.134092548177717,0.119884249689955,0.109624292331446,0.0972998218332152,0.140039580048972,0.125633283864695,0.107168869004266,0.13368355683859,0.141299622086218,0.121913367361015,0.160205434062293,0.0995284101948178,0.1248835831005,0.122186658537825,0.0637691485571785,0.134101544809541,0.114289185483451
"2","79",0.0958554736197877,0,0.0242849517555789,0.0544114026082374,0.0263697220116911,0.0820620201035053,0.0950483833171777,0.0210466592812412,0.0643297475923375,-0.00603132175045398,0.000686823536773346,0.0769238521198847,0.03022134634449,0.0555756833566312,0.071219210136432,0.0649492960990505,0.0281126322669158,0.0701836700636636,0.0285063107796767,0.07186659521685,0.072585537250371,0.0790680591377663,0.00735709055369181,0.0742617250517521,0.0235901802390734,0.0522419262516747,-0.000764461054956173,0.0522769049027983,0.0689249579210073,-0.0209980535028335,0.0192410834003755,0.0609372673211259,0.102872025150507,0.0844139428899408,0.0512175835340942,0.0190659166399778,0.0771863175891973,0.0907971353669205,0.0146064608134464,0.00731018940173584,0.00615029408463448,0.0510689206174217,0.0227601996355948,0.0250498447798862,0.0475825607192608,0.0845935792726107,0.024571164615089,0.020615153404511,0.00884232191980953,0.0083094992299752,0.0218217420885814,0.0100279577453,0.00498153105832127,0.0347416001697101,-0.0234187140616831,0.0131371165541109,-0.00411508638280498,0.0281023882909463,0.0258176126534312,0.0380796047392287,-0.016551557844336,0.0162421620159887,0.0191563242452941,0.00343479805756256,0.0323149040859072,0.0432675103288982,0.0834855082642694,0.0454212096025034,0.0285488881218876,0.013820685465499,0.0088600518389267,0.000337074864327447,-0.0740512024277925,0.0130773885564446,0.0630473702037065,0.0436888469915158,-0.0131396957123097,-0.0217092798915404,-0.00170426741811915,0.0466037949497728,-0.0335379757937203,0.0240225620708759,-0.0362472599736957,-0.0241099356834076,0.0034808890700084,-0.0613242457100565,0.0285258593477431,-0.00460439448826887,0.0130211847254083,0.00723071949912388,0.00656380530219086,-0.0151543820417992,-0.00836590436590429,-0.022738284765003,-0.00913636748877016,0.0450040617384241,0.0632465939174792,0.0186936220775527,0.0188116350377062,0.0192195105632037,0.062323126331521,-0.00252740872297543,0.033306679286542,-0.00236005229468386,0.00729406975166245,0.0201911092646449,0.00934769012322732,-0.0111644389396363,0.000439991877073115,0.0177352429393656,0.0368930759602083,-0.0291531373409389,0.0400000000000001,0.051316896395522,0.0415303050137453,0.0357982581051099,0.015705752063897,0.0255462406759523,0.0307076101468626,-0.0279126842842081,0.00787428128214215,0.00887733747384062
"3","40",0.0839998047067662,0.0242849517555789,0,0.063053936851416,0.021855457068065,0.0834108041163813,0.0802688479589831,0.0176294258619875,0.068164133937904,0.0410097818414065,0.0315044589779006,0.0987368468334544,0.0485563938764065,0.0844201205693199,0.0836748631912354,0.0582253193955088,0.0112446225638777,0.0683339524575725,0.0133452986120723,0.0660517798059833,0.0838632674913109,0.0970551708279782,0.00985400075651052,0.0867706285198801,0.0203787732766049,0.0530220933943091,0.0392659198606856,0.075127862439226,0.0609946256765953,0.0129460381693788,0.030038792955474,0.0660550909208768,0.120068562517211,0.0892787005418942,0.0615990082313575,0.0279751375488834,0.103454364023847,0.09056061700767,0.0070523758765957,0.0173785940999531,0.0260283482249856,0.0430246322258383,0.0137998505363241,0.0695989344725113,0.036155251082397,0.0825886495651091,0.0390399148969493,0.0759366217787927,0.0170657617940795,0.063843090795406,0.0374127877582662,0.0511105606473454,0.0363449311048522,0.0650451566626455,0.00349956255468069,-0.0137141441489267,0.000261894369271086,0.0445632798573975,0.0502994804593137,0.0491732590344462,0.0459977788459945,0.00494752093861542,0.0731471795284461,0.0216479502097145,0.0976506312929519,0.0459115281501341,0.069213189683317,0.0746268656716418,0.034211945530538,0.0165365101902998,0.0184072517625812,0.0107682500301511,-0.0399874821794916,0.0142832558939942,0.0717088127658172,0.0181357788119354,0.000965471237734152,0.018476822330314,0.0330107472964616,0.0537279434824951,0.00457709380451494,0.0516346783537353,0.00531313200562166,0.0187826086956522,0.0476602398815564,-0.0196680904225685,0.023688517529503,0.00456510878740377,0.0496008550719797,0.0153830108984722,0.04082290835639,-0.00798876305855498,0.0152742728117944,-0.000871292649775182,-0.00535609385258645,0.0645250985459363,0.0657982187956932,0.0461724781753041,0.0264594849669678,0.0314786455674664,0.0812735517659833,0.0382642334538727,0.0464831601932112,0.0112305193683265,0.00403353091789137,0.0330634278002699,0.0123439738963797,0.0357323445137368,0.0110003437607425,0.0174752578033082,0.0617733159122108,0.0346957126618144,0.0660821774404606,0.0367166963452896,0.0788895221037206,0.0507892121355053,0.0592411220482146,0.0286034392028383,0.0521802712044669,-0.00250401505862846,0.0149546204620462,0.00123066104078765
"4","47",0.126845872301337,0.0544114026082374,0.063053936851416,0,0.0627055539265671,0.116965721341986,0.106900676348702,0.0572165303277232,0.103550807626059,0.0557570732718417,0.0461854523851148,0.132926569713321,0.0614883978036662,0.104952330820947,0.114414987867573,0.106212076909348,0.0539223331679117,0.113464099707276,0.0602243743985428,0.117732884110085,0.115638213397842,0.0952805209621087,0.0445671996319497,0.118476685344003,0.0594349959031238,0.0994030539056235,0.0770270727008484,0.0831620611907951,0.102551864273469,0.0498166470628936,0.0642397183824161,0.108388573926411,0.115020365887455,0.101461488056608,0.0913099209220439,0.0459358574957734,0.139411475116534,0.109397039949288,0.0402896231952776,0.0538951239617338,0.0505119288787614,0.0928316425115378,0.0519075192592441,0.0859391630831038,0.0908225604668043,0.109318118330115,0.0649479060349661,0.0925101410331797,0.0651819336101668,0.102321299401591,0.096758301310474,0.098206492201782,0.0736899285338404,0.0978448205111371,0.0435758500359479,0.056138356329561,0.0327217503399319,0.0776689257196538,0.0631778510307606,0.0832123608816807,0.0510633890346638,0.071804033394029,0.106560188133849,0.0511445479946548,0.104143929622648,0.103813489851461,0.13255230656888,0.130464043071401,0.105963272986828,0.111937256436596,0.0581678857540927,0.0813914557385832,0.0135163235599917,0.0919016076956363,0.102466226308627,0.0994878213468158,0.0568537576753438,0.0739683451293053,0.0902845120888875,0.104482482907168,0.0715204876396885,0.12050947093403,0.0503841096269639,0.0728816164790682,0.0581792587251721,0.0326944757609922,0.105866842452208,0.0647149722359015,0.102352631924821,0.0558350888799903,0.0582279361876099,0.0756986921699166,0.0560915451601538,0.06099676815785,0.055745280935148,0.0936004636145377,0.117519095830812,0.0978278837570668,0.0629277760751865,0.082142253759081,0.116873501054292,0.0510313374563798,0.0768433372345762,0.0303899691849963,0.0520994927750955,0.0795414373011464,0.0856270651973365,0.0686727346827877,0.069401536253904,0.0852046450921991,0.0814772382653234,0.0611107287867319,0.102199478423461,0.0795007461674129,0.069250469523647,0.0871845185736518,0.0672399910917719,0.0666848121937943,0.0968564708999967,0.0389363065043888,0.0956619569173754,0.0397695334457561
"5","2",0.0654700791934488,0.0263697220116911,0.021855457068065,0.0627055539265671,0,0.0861123816072041,0.0717050829263705,0.011367629230035,0.0791891866867546,0.0160017499284886,0.00594059493912378,0.0880448470894689,0.0273460666716351,0.0633757870026643,0.0765895808781037,0.0717386404634508,-0.000677160767707629,0.0590035296905535,0.0239753370502757,0.0393719211384811,0.0680108039237032,0.0833534076629298,0.0239722091320171,0.0758646222154057,0.0157534156765434,0.0506296985117458,0.0367372353673724,0.0600982237873891,0.0639133942449367,0.0300126767751602,0.0260942198463081,0.0542536221131953,0.0725524957319312,0.0878501087007556,0.0566400414133274,0.029536093072734,0.0921526812756966,0.0822601063127447,0.0208865104901181,0.0195423377694051,0.013801782769006,0.033707760343547,0.0315351045252528,0.0523597777219669,0.0427173512534756,0.062597442366805,0.0363752084157543,0.0712439970724867,0.0486422707461205,0.0431396927707887,0.0215650030807148,0.0345608135815633,0.0190869703407552,0.0473691031622603,0.00109151686734666,0.00559473755594744,-0.00199423886549961,0.0212525360029269,0.0409210076370683,0.0238336125255005,0.0145981731333278,-0.0137809372434632,0.0472471564211414,-0.00326088812251372,0.0570775885812421,0.028400796284008,0.0570507655116842,0.0462970523393485,0.0352555701179555,0.0381460145585396,-0.0018039687312086,0.0230585740789823,-0.0492720584425677,-0.00916012167666311,0.0403519216775816,0.0243108060951495,0.0215771941277893,-0.00289101390765855,0.00254401482604674,0.0573653367584491,0.00396032901194875,0.0369375642428463,-0.00122265996467864,0.00257325190420648,-0.00637709060281548,-0.0559540395961263,0.0340980567418149,0.0157125700560449,0.0233280973229505,0.0350586519981444,0.0160260763275839,-0.0079588336192109,0.00754048914825264,-0.00622134346929378,-0.0189436837228456,0.0783870359902017,0.0270605801332059,0.0178793480087381,0.025728987993139,0.0515336826225892,0.0703562802885603,-0.0164275677832324,0.00818858978023648,0.00137504880574471,-0.034662413609782,0.0132479205795547,0.013985896292307,0.0285780476907548,0.00950650312116171,0.0323187951051146,0.0182485438200735,0.0187913157276602,0.0662693796905624,0.0302015092462062,0.0439088375143467,0.0197812584391035,0.027510133563692,0.0501996669522902,0.0431673469387756,-0.00185873605947948,0.0253704348980371,-0.00787157981575685
"6","12",0.14549396700554,0.0820620201035053,0.0834108041163813,0.116965721341986,0.0861123816072041,0,0.11488109329841,0.0776424887235219,0.144148936950118,0.090059020123729,0.0927364282894577,0.147693774874688,0.0940484407485413,0.129886057867413,0.116605505070021,0.122103216308648,0.0655629265791326,0.133130806851719,0.0730913720866633,0.142585645700523,0.133536203373883,0.143150073519679,0.0640150065480613,0.134634346664316,0.0812568406260276,0.0974692063679068,0.131590920580355,0.125872450627195,0.106307095237012,0.0788105413105414,0.123954712825631,0.124688905944288,0.14474013170239,0.150847889270806,0.135472614592585,0.0599219621414771,0.136975707912121,0.15588505005154,0.067430488404922,0.0682035246289484,0.0584214938707607,0.0937639301024198,0.0870023429023674,0.114883451752856,0.104934239568914,0.12437455008973,0.0826782000362971,0.133358787775227,0.109392786514333,0.126900455939931,0.0998518518518519,0.111914106398797,0.166206156746741,0.159143113138389,0.126088215752083,0.100635648869666,0.111149482844957,0.1097598894455,0.123176111299627,0.141315031068317,0.134364052815953,0.11206400669351,0.127567147276077,0.086040168608976,0.174108587329321,0.148320740272276,0.188004247967158,0.160647653488946,0.120306905370844,0.137645947222785,0.117446940784361,0.112530915086562,0.0474494792130331,0.128202521350142,0.152075275838398,0.107305975722001,0.101210449570457,0.101382327209099,0.128968387140077,0.133013387218995,0.121412878723368,0.15381159203235,0.115421292827464,0.0831368455155781,0.0847312899151442,0.0659013899453704,0.143643534446589,0.135199225142781,0.127679782903664,0.134341486518488,0.169854578802568,0.0885878982918981,0.100647040888919,0.0953995665245054,0.0781726608498263,0.145125056162947,0.158639897876291,0.134670390115935,0.115283693985347,0.117733184049608,0.16217271100992,0.1422016043945,0.121393761355725,0.140137052536806,0.0707657665837405,0.121402264356841,0.140906040268456,0.12039614103987,0.113315998357739,0.147161528484486,0.161166324435318,0.0979090138457192,0.159805223550244,0.166932517334549,0.0985840707964602,0.184732922034332,0.153645661497856,0.153718791495221,0.125117110978622,0.103443521422909,0.103317105515713,0.102556022408964
"7","13",0.15401353539131,0.0950483833171777,0.0802688479589831,0.106900676348702,0.0717050829263705,0.11488109329841,0,0.0783873832117538,0.123624015845516,0.134935304990758,0.0994695463444989,0.15385532444724,0.0663623144487449,0.116627864143975,0.128663356504209,0.128482034339641,0.0713675174229168,0.104791660385323,0.0677099675153797,0.146980108499096,0.148749543392635,0.166432416219709,0.0573532471137681,0.134098767733012,0.0786771517008349,0.10032768160952,0.143307871139156,0.110281837690009,0.114464203376768,0.1086090420925,0.142516195022162,0.114328429348489,0.15484422768962,0.144463111358215,0.114657793417207,0.0798386706347314,0.163427578665834,0.146702369223753,0.0740066484097833,0.0640797716091478,0.0738325336216801,0.107754957341841,0.0831490828690707,0.162347575340659,0.0969823107522651,0.11475215474655,0.0982408841994767,0.120703009737386,0.0972122706128253,0.157310813048518,0.147823208078133,0.166477180445022,0.128812404157437,0.136432541687721,0.147908366533865,0.0871036693979338,0.117209141274238,0.124386529023523,0.130677966101695,0.132952828605003,0.163464669488766,0.114386584289497,0.112724757952974,0.11047220770169,0.185017026106697,0.13466803559206,0.149546827794562,0.172379858947023,0.161738568427856,0.157597876575979,0.102238137869293,0.120929443690638,0.0624892408331899,0.137231705256042,0.191787518331432,0.156157147573457,0.123095567867036,0.135208403930871,0.145792241946088,0.163100724160632,0.145982963086688,0.174893056926621,0.105747525612085,0.127969481532859,0.138017776287104,0.0726275552600964,0.132554945054945,0.125191359074673,0.127041430290528,0.162354892205639,0.146345628415301,0.137960006721559,0.113500992720053,0.0672849609019822,0.119939526289266,0.208359229334991,0.181462140992167,0.10375702247191,0.174323675364175,0.167270332565031,0.178445794691398,0.161448942796263,0.134602538410154,0.11913357400722,0.0797833935018051,0.108442123585727,0.128694158075601,0.139774068453886,0.10609756097561,0.156560636182903,0.14133197763091,0.148650913356796,0.173198894129127,0.165649232799868,0.158599899514319,0.189875464984635,0.153615461512829,0.154062551712726,0.127797710575773,0.112013536379019,0.122386013027083,0.11384239888424
"8","18",0.0922635702137461,0.0210466592812412,0.0176294258619875,0.0572165303277232,0.011367629230035,0.0776424887235219,0.0783873832117538,0,0.0721007291002719,0.00695917285259812,0.0165161230538769,0.073134539280636,0.034256510215621,0.0679019006396223,0.0434669695546243,0.0630782555299444,0.017253612165924,0.0779880755849958,0.0247167733592655,0.0905774452003943,0.0724513675739307,0.0833538030972662,0.0220896451592794,0.0750848213447054,0.0221037179836414,0.0377801390395515,0.0365781427588084,0.0504288675057049,0.0632515983675214,0.00157297789552118,0.0059782789199243,0.0677686186108269,0.103178919377315,0.0907069010525864,0.0570741813774863,0.0266109605891266,0.0709154228605326,0.0897405117980475,0.00827720395784884,0.0353991685044965,-0.00296832581652814,0.0489164848569047,0.0273896819104138,0.0724934565572148,0.0349153048382808,0.0659180157047447,0.0395476093679564,0.0664312992861712,0.0270866733839242,0.0597892017078128,0.0296153227104459,0.0343766527236887,0.0362412215707751,0.0384701337675191,-0.0114853224335371,0.00775705561973925,-0.00460058552906732,0.0302699404236186,0.0216668019151181,0.0537852966008944,0.0419178823117673,0.0020930660906549,0.0417627873677512,-0.00324788887223303,0.0748666437907478,0.0567136002517109,0.0720599390083438,0.0724930459511119,0.0246727822808976,0.0257622696885701,0.0270976167156383,-0.0105161247245777,-0.0329500148275066,0.0272730206887648,0.0476436160779066,0.0512449698189135,-0.00293619234576599,0.0322966120853923,0.00197465854862599,0.0690509366775043,0.0111731843575419,0.0623894364417488,-0.00249260527102926,0.00569857870742829,0.0301536865313534,-0.0526789584236322,0.0190276931187295,0.0316324248330511,0.0459977921059789,0.0541630928555545,0.0367437388994802,-0.00216262975778544,-0.0258811117338696,-0.00666511147398938,-0.0020565637287968,0.0427024796012319,0.0678413266748328,0.0628540937553948,0.0249517063747586,0.0124511436911457,0.0411437648927721,0.029843523148895,0.00148333717902234,-0.00516477291659723,-0.0120237087214225,0.0176793599582865,0.00695042033494409,0.0129644216883288,0.0109652711858859,0.0341582882186131,0.0521155585169673,0.0080400510584686,0.0462227587521444,0.0396583282489323,0.0349480632948258,0.0481271392071476,0.0271928827702648,0.0462779843366822,0.0358221422604897,-0.0167240860286985,0.0228607689679299,0.00291099023570706
"9","30",0.14975434105377,0.0643297475923375,0.068164133937904,0.103550807626059,0.0791891866867546,0.144148936950118,0.123624015845516,0.0721007291002719,0,0.107194916225822,0.0890315990466053,0.153356735435152,0.0774172814351172,0.142506013092329,0.134616581641068,0.120831055221432,0.0635256591297948,0.140103625079787,0.0823620312177505,0.154935162799314,0.128272645283535,0.130190629724643,0.0705693139865609,0.12531675642024,0.0621676622494579,0.103860121578268,0.0769982477422833,0.125619623942547,0.123689864942669,0.0543562264928642,0.0856121054673662,0.121464314775873,0.157503201732432,0.147919373472663,0.128001502838389,0.0690791021501474,0.175438529036156,0.148129055543191,0.06683052428095,0.0563349548950903,0.0784198843727067,0.0902733145475676,0.0666721580728423,0.11439818181126,0.101022722337985,0.1063551217586,0.0671644451084932,0.102635221049441,0.0724012332853861,0.144413997291253,0.106389901093181,0.107441792164989,0.103240961282586,0.118716989613267,0.0535027876857014,0.0544907279269305,0.0781855558925623,0.0969123095924249,0.110491867020932,0.120449165013756,0.101148707498644,0.0863252062825096,0.119129751151187,0.0703603741236781,0.153072415629994,0.102594455953438,0.137460022371717,0.13495867636989,0.098762396524875,0.0822109941362354,0.061044246255087,0.0644272940536498,0.0066121454672003,0.0682899381042509,0.142107704364794,0.110157228102694,0.0885379076520251,0.0985734099465029,0.0914052738870257,0.12058445728966,0.0587750759356821,0.132014793375141,0.071550169394394,0.0854368275021994,0.102846150051793,0.0427703282911685,0.0918854017276457,0.0763473554077985,0.091018807201046,0.0928208482165317,0.0954728217896738,0.0740221813332433,0.0882635113527343,0.0763505281954574,0.038477537437604,0.119472672342763,0.121923371772497,0.0834935735249469,0.0973094390975718,0.102825007833501,0.126214517050867,0.0670434112509633,0.106069439046509,0.079206102792662,0.0658144102546432,0.0965702336456292,0.0731300335427628,0.0896655267328385,0.0890741262449663,0.0946752447924459,0.0893903378084302,0.0727133236723212,0.166743084212135,0.131662942866262,0.114707654232541,0.13088752055192,0.0972054468141432,0.0775870755382394,0.132439814520739,0.0764317437083119,0.126198083067093,0.0743642239556014
"10","20",0.0892231103632029,-0.00603132175045398,0.0410097818414065,0.0557570732718417,0.0160017499284886,0.090059020123729,0.134935304990758,0.00695917285259812,0.107194916225822,0,-0.0289911093931194,0.106854947789861,0.027544663543222,0.048554588829638,0.0658205276131536,0.132687224669604,-0.0123435595460866,0.0382513661202186,0.0344011495224411,0.0963334486336908,0.0755663459306997,0.104860057177143,-0.0439753891203178,0.0984630500385992,-0.00784612387311588,0.0139179573043115,0,0.0662969498361483,0.0590957392109143,0,0,0.0498496146932674,0.133413050905364,0.134233267040955,0.0566815527310203,-0.0280068699304504,0.194127243066884,0.141598034966045,-0.0161354754667824,-0.0176587130674476,-0.0541168065726023,0.0716855501261881,0.0159376059681248,0.130434782608696,0.0435183379717441,0.0187917105725325,0.00407489554856354,0.00886959803736559,-0.00579252238020011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
