"","population","47","18","20","19","21","17","7","49","6","23","36","45","46","9","35","8","5","MWI075","MWI016","MWI025","MWI033","MWI041","MWI049","MWI058","MWI068","MWI076","MWI017","MWI026","MWI034","MWI042","MWI050","MWI059","MWI069","MWI018","MWI027","MWI035","MWI043","MWI051","MWI060","MWI070","MWI028","MWI044","MWI052","MWI061","MWI029","MWI045","MWI053","MWI030","MWI046","MWI054","MWI073","MWI031","MWI047","MWI055","MWI074","MWI024","MWI032","MWI040","MWI048","MWI056"
"3","20",0.0557570732718417,0.00695917285259812,0,0.106854947789861,0.048554588829638,0.0658205276131536,-0.0123435595460866,0.0755663459306997,-0.00784612387311588,0,0.0662969498361483,0,0.0498496146932674,-0.0541168065726023,0.0435183379717441,0.0187917105725325,0.00407489554856354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","19",0.132926569713321,0.073134539280636,0.106854947789861,0,0.147480155622006,0.14384394326909,0.102694541619056,0.139278483903627,0.0805932549215118,0.147146839036235,0.130036039974843,0.106719789406282,0.119939786463768,0.103099252215069,0.0908901142613157,0.149899393238244,0.0812959870820395,0.155861929139845,0.174097135740971,0.153995042276478,0.153932699191981,0.131329779772759,0.105895411497216,0.137953545904343,0.148484487076823,0.172813540234834,0.146988446024475,0.164647041052667,0.179904274190849,0.154681347900936,0.135674727869308,0.185026455898594,0.145831908637079,0.133048848182071,0.0723276014890977,0.111858825213874,0.173887965256336,0.132983818995698,0.142812629829664,0.145016093774205,0.155345825296225,0.106294062068464,0.155876935670919,0.0789926482089786,0.119919346280378,0.104621949960423,0.109945603061821,0.180275628706122,0.123730909217561,0.11984490659147,0.141744360383959,0.150227878579414,0.180397868326106,0.167855220667384,0.181411198717092,0.153897085038114,0.174613219644612,0.10205169197975,0.0971395276852206,0.125633445945946
"5","21",0.104952330820947,0.0679019006396223,0.048554588829638,0.147480155622006,0,0.115501057420835,0.0459734407683649,0.132569194325244,0.090150908693831,0.0573828947139553,0.100878044759149,0.0862166384152624,0.100389369738771,0.0712273801435232,0.0954599975476929,0.115686034290489,0.0929330302197618,0.078837472737417,0.0817920540997465,0.0802909986848458,0.068081069426477,0.0625549142906366,0.0829138440011604,0.0849785119527263,0.0643469317792253,0.0590489341503409,0.087462487495832,0.0622084251053572,0.0874735909493628,0.100373365479599,0.131130905400834,0.109087283121718,0.0961916502848766,0.0730872812886397,0.0048537735022517,0.0849054993085316,0.116437101314102,0.099658323935839,0.0515060081520301,0.0652846160490628,0.122825566220078,0.0515062821245003,0.0294825295363953,-0.0104364995416402,0.06408913763799,0.0427447342198399,0.0778514975398173,0.0860175937562008,0.0605527165832066,0.0834017234304473,0.0606050093665441,0.0599372421817157,0.120790228495923,0.102719644120918,0.116628844975236,0.102781136638452,0.0570634231103389,0.0663913757213695,0.0534343188687767,0.0729878874119322
"6","17",0.114414987867573,0.0434669695546243,0.0658205276131536,0.14384394326909,0.115501057420835,0,0.0556491216397307,0.128991158713284,0.0558730881047553,0.0706756523241749,0.111961186565331,0.0831196617479751,0.112028245186788,0.0751516371084689,0.0695905094501941,0.130604298618057,0.0773256250936706,0.128507123150643,0.0963198699935674,0.110035356706209,0.0722883231876038,0.079739500538434,0.0336585190251629,0.078600017031423,0.0955616548400054,0.101715991047003,0.0895754461871282,0.0604487492160825,0.13968114670177,0.130402324033952,0.125419291499632,0.154364544517561,0.0923859231040328,0.091317691649756,0.0397660218584843,0.0839258854095447,0.155071788028361,0.111901585890025,0.0921364403457035,0.0761412575366064,0.112292448227714,0.0535599514389774,0.0797157290863944,0.0189259726567226,0.113871976304097,0.0508209538702111,0.0410418591429181,0.0794733610751075,0.0822229003492354,0.0610628423880806,0.0865051903114187,0.101097046413502,0.13045741427549,0.0871276959945225,0.129458865224953,0.127798371562232,0.102253091079907,0.0616837244563907,0.0969034669719982,0.0671949176207763
"7","7",0.0539223331679117,0.017253612165924,-0.0123435595460866,0.102694541619056,0.0459734407683649,0.0556491216397307,0,0.0763457184849121,0.00805518341545471,0.000304785126485899,0.078842958089685,-0.0201012842007017,0.0428889670224552,-0.00183001103011626,0.0376907342646663,0.0448887512827618,0.0117865017657631,-0.005922645104805,-0.00578213732576142,0.0407735020661158,-0.0364102111120925,-0.0324897039670526,-0.00436696179336558,-0.013547811771162,0.0341270747988446,-0.0207700716628203,0.0337317136886103,-0.0116115773248843,0.0345979006529466,0.0326717253719474,0.0468105986261041,0.0490347553141315,0.0115428494731898,0.0105097303005415,-0.076873889875666,-0.0188679245283018,0.0322082283795131,0.0216050411762745,-0.0438184383987423,-0.0307565298343608,0.0303712035995501,-0.0052652614384763,-0.0422926803186654,-0.081791149204128,-0.0100571272192385,-0.0228958400515962,-0.0392663668873703,0.0275960920638582,0.0198520182334677,-0.00549639299209887,-0.0240642637027803,0.00562353021369422,0.0475353831137141,0.0149490718062196,0.0433952952788288,0.0311835927847789,0.00131343283582097,-0.0380374958502961,0.00510152370012508,-0.0236700915243538
"8","49",0.115638213397842,0.0724513675739307,0.0755663459306997,0.139278483903627,0.132569194325244,0.128991158713284,0.0763457184849121,0,0.0787688734859379,0.11955896776812,0.122663036710527,0.111039105001961,0.10193790983913,0.0773594338460849,0.0988618258563863,0.139506699341089,0.0909390633041062,0.141516603337188,0.134691283697906,0.133190978246363,0.103511503200138,0.111488456656719,0.084389001142054,0.13024999163348,0.131191052499791,0.1423775671406,0.14855303364544,0.12930269917502,0.146275620729878,0.147215664261775,0.15469351010721,0.136526806137612,0.131654808124906,0.105840041102929,0.0441939080724236,0.0972700399930447,0.120230257488539,0.100609492895005,0.137720556352357,0.115177426250534,0.138960820581806,0.106796454629356,0.133177257525084,0.0459152414795106,0.125176470588235,0.10018459473066,0.100489688944065,0.152043171548389,0.135917517596907,0.0727765687988299,0.131194653299917,0.122893449306877,0.160948242314178,0.115861596437136,0.166444523910146,0.107484814166581,0.149029851972333,0.102225407877671,0.120471720492053,0.0918306499701849
"9","6",0.0594349959031238,0.0221037179836414,-0.00784612387311588,0.0805932549215118,0.090150908693831,0.0558730881047553,0.00805518341545471,0.0787688734859379,0,0.0198939219691379,0.0626362116219817,-0.0262097135384008,0.0387699513402444,0.018615040839998,0.0365830590314436,0.0727307353827821,0.0290790430302316,0.0346121345276323,0.0405578819397542,0.0586801495413298,0.0110813909056172,-0.0420426466550745,0.0016080542543523,-0.00266386260077105,0.0506282826939699,0.0574046002768075,0.0490225463749293,0.0341709563803848,0.0653001755025002,0.00325023278694292,0.0399635621383627,0.0814008135219668,0.0339667257832954,0.0150528745134512,-0.0555317783008773,-0.00719984432769014,0.0259879948648556,-0.00331538232146923,-0.0118451755401577,-0.00276461990878507,0.0259352051835854,0.00263497621447652,0.0210551707501982,-0.0256012946989652,0.00266069177986284,-0.0152732562166654,-0.0389440383986036,0.0737477486248358,0.0188149972632732,0.0206680548624138,0.0321617080497616,0.0320746639267061,0.049649659693306,0.0209531706137397,0.0214060896934287,0.0058941145788056,0.0197037547364796,-0.0162276451413972,0.0104488492380325,-0.0328862358272516
"10","23",0.0770270727008484,0.0365781427588084,0,0.147146839036235,0.0573828947139553,0.0706756523241749,0.000304785126485899,0.11955896776812,0.0198939219691379,0,0.0840845762989674,0,0.0668582508136556,-0.0381068383504437,0.0689113897848999,0.0820479159829341,0.0271845635897694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","36",0.0831620611907951,0.0504288675057049,0.0662969498361483,0.130036039974843,0.100878044759149,0.111961186565331,0.078842958089685,0.122663036710527,0.0626362116219817,0.0840845762989674,0,0.0398792473542478,0.0967680551913906,0.0379591215174735,0.100576374681791,0.0888945789771356,0.0742074326437699,0.0725311203319502,0.0772319280606574,0.0814513750040972,0.0433284520630546,0.0920917158312769,0.0363488801782045,0.0468835242771413,0.0802165354330709,0.117178252978774,0.0859089643424566,0.1041783623386,0.122594168836943,0.088565774194076,0.0948310948310949,0.129527973952845,0.0963089630251017,0.0596466502239896,0.0243673694964077,0.0658082735203644,0.100063818297851,0.0784840149556108,0.0553574779508351,0.0762603329840494,0.0859289299604428,0.0917711585799012,0.0682705356095763,0.0254798146922568,0.0608101316715248,0.0477738376674547,0.0343320311827772,0.115995502699964,0.0734905535737878,0.0724010518957425,0.0743870112657389,0.059597483850184,0.0997114043905445,0.0919250180245134,0.10621366161042,0.0489103621918647,0.0570484021361363,0.0450145535774724,0.0604440997454098,0.0181529784984138
"12","45",0.0498166470628936,0.00157297789552118,0,0.106719789406282,0.0862166384152624,0.0831196617479751,-0.0201012842007017,0.111039105001961,-0.0262097135384008,0,0.0398792473542478,0,0.0843720851352498,-0.0949436158603128,0.0427108572237059,0.0410587037665423,0.0123895001943783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
