"","Year","Population","years_before_present"
"1",1834,9252,189
"2",1861,65085,162
"3",1901,238080,122
"4",1931,856955,92
"5",1941,951549,82
"6",1951,1176622,72
"7",1961,1824481,62
"8",1971,2089729,52
"9",1976,2124291,47
"10",1981,2137395,42
"11",1986,2192721,37
"12",1991,2275771,32
"13",1996,2385421,27
"14",2001,2481494,22
"15",2006,2503281,17
"16",2011,2615060,12
"17",2016,2731571,7
"18",2021,2794356,2
